num_objectif	nom_objectif	num_axe	nom_axe	num_source	nom_source	num_indicateur	nom_indicateur_original	nom_indicateur_reformule	axe_point_de_vue_porteur_papi	gestion_crise	amenagement_territoire	activite_economique	environnement
1	Augmenter la sécurité des populations	1.3	La mise en danger des personnes liée aux sur-aléas 	S1/11	Sur-aléa généré par un ouvrage linéaire (route, digue, barrage) ou des embâcles	S1/11	Nombre de personnes exposées à un sur-aléa lié à la rupture d'ouvrage	Population exposée à un sur-aléa lié à la rupture d'ouvrage de lutte contre les inondations	Population	X			
1	Augmenter la sécurité des populations	1.3	La mise en danger des personnes liée aux sur-aléas 	S1/12	Sur-aléa technologique	S1/12	Nombre d'établissements dangereux susceptibles d'engendrer un sur-aléa	Établissements dangereux susceptibles d'engendrer un sur-aléa	Établissements sensibles et/ou utiles à la gestion de crise	X			
1	Augmenter la sécurité des populations	1.4	Le manque de préparation à la crise 	S1/13	Préparation individuelle à la crise	S1/13a	Variation saisonnière de la population	Variation saisonnière de la population	Population		X		
1	Augmenter la sécurité des populations	1.4	Le manque de préparation à la crise 	S1/13	Préparation individuelle à la crise	S1/13b	Méconnaissance du risque par la population (enquête)	Méconnaissance du risque par la population	Population		X		
1	Augmenter la sécurité des populations	1.4	Le manque de préparation à la crise 	S1/14	Préparation collective à la crise	S1/14a	Variation saisonnière de la population	Variation saisonnière de la population	Population		X		
1	Augmenter la sécurité des populations	1.4	Le manque de préparation à la crise 	S1/14	Préparation collective à la crise	S1/14b	Proportion de personnes habitant une commune dont le PCS est ancien	Population habitant une commune dont le PCS est ancien	Population	X			
1	Augmenter la sécurité des populations	1.4	Le manque de préparation à la crise 	S1/14	Préparation collective à la crise	S1/14c	Proportion de personnes habitant une commune dont le DICRIM est insuffisamment adapté au territoire	Population habitant une commune dont le DICRIM est insuffisamment adapté au territoire	Population	X			
1	Augmenter la sécurité des populations	1.4	Le manque de préparation à la crise 	S1/14	Préparation collective à la crise	S1/14d	Proportion de personnes habitant une commune n'ayant pas réalisé un exercice de crise dans les 3 dernières années	Population habitant une commune n'ayant pas réalisé un exercice de crise dans les 3 dernières années	Population	X			
1	Augmenter la sécurité des populations	1.4	Le manque de préparation à la crise 	S1/14	Préparation collective à la crise	S1/14e	Nombre d'enjeux utiles à la gestion de crise susceptibles de dysfonctionnement	Enjeux utiles à la gestion de crise susceptibles de dysfonctionnement	Établissements sensibles et/ou utiles à la gestion de crise	X			
1	Augmenter la sécurité des populations	1.4	Le manque de préparation à la crise 	S1/14	Préparation collective à la crise	S1/14f	Existence ou non de systèmes d'alerte performants (zones à cinétique rapide ou lente, zones densément peuplées)	Systèmes d'alerte performants existants		X			
1	Augmenter la sécurité des populations	1.4	Le manque de préparation à la crise 	S1/15	Évolution de la vulnérabilité dans le temps via le niveau d'intégration du risque dans les politiques d'aménagement 	S1/15a	Surface des zones en voie d'urbanisation, à vocation d'habitation, et dont les accès sont dangereux	Zones en voie d'urbanisation, à vocation d'habitation, et dont les accès sont dangereux			X		
1	Augmenter la sécurité des populations	1.4	Le manque de préparation à la crise 	S1/15	Évolution de la vulnérabilité dans le temps via le niveau d'intégration du risque dans les politiques d'aménagement 	S1/15b	Proportion de personnes habitant une commune sans dispositif réglementaire	Population habitant une commune sans dispositif réglementaire	Population		X		
1	Augmenter la sécurité des populations	1.4	Le manque de préparation à la crise 	S1/15	Évolution de la vulnérabilité dans le temps via le niveau d'intégration du risque dans les politiques d'aménagement 	S1/15c	Proportion de personnes habitant une commune sans dispositif financier	Population habitant une commune sans dispositif financier	Population		X		
1	Augmenter la sécurité des populations	1.4	Le manque de préparation à la crise 	S1/15	Évolution de la vulnérabilité dans le temps via le niveau d'intégration du risque dans les politiques d'aménagement 	S1/15d	Proportion de personnes habitant une commune sans dispositif d'accompagnement technique	Population habitant une commune sans dispositif d'accompagnement technique	Population		X		
2	Réduire le coût des dommages	2.1	Les dommages aux bâtiments 	S2/1	Atteinte à la structure des bâtiments	S2/1	Dommages aux bâtiments susceptibles d'être détruits	Dommages aux bâtiments susceptibles d'être détruits	Population	X			
2	Réduire le coût des dommages	2.1	Les dommages aux bâtiments 	S2/2	Pénétration d'eau dans les logements	S2/2a	Dommages en fonction de la hauteur d'eau et de la durée de submersion	Dommages aux logements en fonction de la hauteur d'eau et de la durée de submersion	Population	X			
2	Réduire le coût des dommages	2.1	Les dommages aux bâtiments 	S2/2	Pénétration d'eau dans les logements	S2/2b	Proportion de logements n'ayant pas fait l'objet de mesures de réduction de la vulnérabilité (pour la réduction des dommages aux biens)	Logements n'ayant pas fait l'objet de mesures de réduction de la vulnérabilité	Population	X			
2	Réduire le coût des dommages	2.1	Les dommages aux bâtiments 	S2/3	Destruction ou endommagement des habitats légers 	S2/3a	Nombre d'habitations légères de loisirs inondables	Habitations légères de loisirs inondables	Population	X			
2	Réduire le coût des dommages	2.1	Les dommages aux bâtiments 	S2/3	Destruction ou endommagement des habitats légers 	S2/3b	Nombre de mobil-homes ne pouvant être mis à l'abri	Mobil-homes ne pouvant être mis à l'abri	Population	X			
2	Réduire le coût des dommages	2.2	Les dommages au patrimoine	S2/4	Dommages divers au patrimoine culturel	S2/4a	Nombre de musées et bâtiments patrimoniaux susceptibles d'être endommagés	Musées et bâtiments patrimoniaux susceptibles d'être endommagés	Établissements sensibles et/ou utiles à la gestion de crise	X			
2	Réduire le coût des dommages	2.2	Les dommages au patrimoine	S2/4	Dommages divers au patrimoine culturel	S2/4b	Nombre de monuments, édifices patrimoniaux, remarquables, historiques susceptibles d'être endommagés	Monuments, édifices patrimoniaux, remarquables, historiques susceptibles d'être endommagés	Établissements sensibles et/ou utiles à la gestion de crise	X			
2	Réduire le coût des dommages	2.2	Les dommages au patrimoine	S2/5	Dommages à l'environnement : charriage de pollution et des déchets 	S2/5a	Volumes issus des stockages et dépôts susceptibles d'être emportés	Stockages et dépôts susceptibles d'être emportés	Déchets				X
2	Réduire le coût des dommages	2.2	Les dommages au patrimoine	S2/5	Dommages à l'environnement : charriage de pollution et des déchets 	S2/5b	Nombre d'installations susceptibles de déverser des produits polluants	Installations susceptibles de déverser des produits polluants	Établissements sensibles et/ou utiles à la gestion de crise				X
2	Réduire le coût des dommages	2.2	Les dommages au patrimoine	S2/5	Dommages à l'environnement : charriage de pollution et des déchets 	S2/5c	Surface d'espaces naturels protégés vulnérables	Espaces naturels protégés vulnérables					X
2	Réduire le coût des dommages	2.2	Les dommages au patrimoine	S2/5	Dommages à l'environnement : charriage de pollution et des déchets 	S2/5d	Capacité des captages AEP vulnérables	Captages AEP vulnérables	Eau potable / eaux usées				X
2	Réduire le coût des dommages	2.3	Les dommages aux activités et aux biens 	S2/6	Inondation, érosion, dépôts au sein des exploitations agricoles	S2/6a	Dommages aux cultures en fonction de paramètres hydrauliques	Dommages aux cultures en fonction de paramètres hydrauliques	Activités économiques			X	
2	Réduire le coût des dommages	2.3	Les dommages aux activités et aux biens 	S2/6	Inondation, érosion, dépôts au sein des exploitations agricoles	S2/6b	Dommages au bâti, au matériel et aux stocks agricoles	Dommages au bâti, au matériel et aux stocks agricoles	Activités économiques			X	
2	Réduire le coût des dommages	2.3	Les dommages aux activités et aux biens 	S2/6	Inondation, érosion, dépôts au sein des exploitations agricoles	S2/6c	Dommages au bétail	Dommages au bétail	Activités économiques			X	
2	Réduire le coût des dommages	2.3	Les dommages aux activités et aux biens 	S2/7	Inondation des bâtiments, mobiliers et stocks, et pertes d'activités des entreprises	S2/7a	Dommages aux entreprises en fonction de paramètres hydrauliques et du délai d'intervention	Dommages aux entreprises en fonction de paramètres hydrauliques et du délai d'intervention	Activités économiques			X	
2	Réduire le coût des dommages	2.3	Les dommages aux activités et aux biens 	S2/7	Inondation des bâtiments, mobiliers et stocks, et pertes d'activités des entreprises	S2/7b	Proportion de bâtiments d'activité n'ayant pas fait l'objet de mesures de réduction de la vulnérabilité, parmi les bâtiments impactés de façon directe ou indirecte par l'inondation	Bâtiments d'activité économique n'ayant pas fait l'objet de mesures de réduction de la vulnérabilité	Activités économiques			X	
2	Réduire le coût des dommages	2.3	Les dommages aux activités et aux biens 	S2/8	Inondation des bâtiments et mobiliers des établissements publics	S2/8a	Dommages aux établissements publics en fonction de paramètres hydrauliques	Dommages aux établissements publics en fonction de paramètres hydrauliques	Établissements sensibles et/ou utiles à la gestion de crise		X		
2	Réduire le coût des dommages	2.3	Les dommages aux activités et aux biens 	S2/8	Inondation des bâtiments et mobiliers des établissements publics	S2/8b	Proportion de bâtiments publics n'ayant pas fait l'objet de mesures de réduction de la vulnérabilité, parmi les bâtiments impactés de façon directe ou indirecte par l'inondation	Bâtiments publics n'ayant pas fait l'objet de mesures de réduction de la vulnérabilité	Établissements sensibles et/ou utiles à la gestion de crise		X		
2	Réduire le coût des dommages	2.3	Les dommages aux activités et aux biens 	S2/9	Destruction ou endommagement des véhicules	S2/9	Nombre de véhicules (terrestres) exposés à l'aléa	Véhicules terrestres exposés à l'aléa inondation	Transport (routes, voies ferrées...)	X			
2	Réduire le coût des dommages	2.4	Les dommages aux infrastructures et aux réseaux 	S2/10	Érosion, destructions, dépôts sur les infrastructures, espaces, ouvrages et réseaux (érosion, déchets...) 	S2/10a	Nombre de parties de réseaux (nœuds, liaisons) susceptibles d'être endommagés par l'inondation	Parties de réseaux (nœuds, liaisons) susceptibles d'être endommagés par l'inondation	Transport (routes, voies ferrées...)	X			
2	Réduire le coût des dommages	2.4	Les dommages aux infrastructures et aux réseaux 	S2/10	Érosion, destructions, dépôts sur les infrastructures, espaces, ouvrages et réseaux (érosion, déchets...) 	S2/10b	Dommages aux voiries en fonction de la hauteur de submersion	Dommages aux voiries en fonction de la hauteur de submersion	Transport (routes, voies ferrées...)		X		
2	Réduire le coût des dommages	2.4	Les dommages aux infrastructures et aux réseaux 	S2/11	Dommages dus aux dysfonctionnements des réseaux urbains	S2/11	Dommages dus aux dysfonctionnements des réseaux (dans le cas de l'existence préalable d'un diagnostic de vulnérabilité des réseaux)	Dommages dus aux dysfonctionnements des réseaux (dans le cas de l'existence préalable d'un diagnostic de vulnérabilité des réseaux)	Transport (routes, voies ferrées...)		X		
2	Réduire le coût des dommages	2.4	Les dommages aux infrastructures et aux réseaux 	S2/12	Préparation individuelle à la crise	S2/12a	Variation saisonnière de la population	Variation saisonnière de la population	Population		X		
2	Réduire le coût des dommages	2.4	Les dommages aux infrastructures et aux réseaux 	S2/12	Préparation individuelle à la crise	S2/12b	Méconnaissance du risque par la population (enquête)	Méconnaissance du risque par la population	Population		X		
2	Réduire le coût des dommages	2.4	Les dommages aux infrastructures et aux réseaux 	S2/13	Préparation collective à la crise	S2/13a	Proportion d'ouvrages de protection n'étant pas concernés par un dispositif d'intervention d'urgence	Ouvrages de lutte contre les inondations n'étant pas concernés par un dispositif d'intervention d'urgence		X			
2	Réduire le coût des dommages	2.4	Les dommages aux infrastructures et aux réseaux 	S2/13	Préparation collective à la crise	S2/13b	Dommages n'étant pas évités par des dispositifs (matériels, organisation...) permettant la protection collective des enjeux (barrières anti-inondation, pompages...)	Dommages n'étant pas évités par des dispositifs permettant la protection collective des enjeux		X			
2	Réduire le coût des dommages	2.4	Les dommages aux infrastructures et aux réseaux 	S2/14	Évolution de la vulnérabilité dans le temps via le niveau d'intégration du risque dans les politiques d'aménagement	S2/14a	Surface de zones à urbaniser en zone inondable 	Surfaces à urbaniser inondables			X		
2	Réduire le coût des dommages	2.4	Les dommages aux infrastructures et aux réseaux 	S2/14	Évolution de la vulnérabilité dans le temps via le niveau d'intégration du risque dans les politiques d'aménagement	S2/14b	Proportion de personnes habitant une commune sans dispositif réglementaire	Population habitant une commune sans dispositif réglementaire	Population		X		
2	Réduire le coût des dommages	2.4	Les dommages aux infrastructures et aux réseaux 	S2/14	Évolution de la vulnérabilité dans le temps via le niveau d'intégration du risque dans les politiques d'aménagement	S2/14c	Proportion de personnes habitant une commune sans dispositif financier	Population habitant une commune sans dispositif financier	Population		X		
2	Réduire le coût des dommages	2.4	Les dommages aux infrastructures et aux réseaux 	S2/14	Évolution de la vulnérabilité dans le temps via le niveau d'intégration du risque dans les politiques d'aménagement	S2/14d	Proportion de personnes habitant une commune sans dispositif d'accompagnement technique	Population habitant une commune sans dispositif d'accompagnement technique	Population		X		
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/1	Impact potentiel d'une crue sur le territoire 	S3/1a	Nombre et proportion de personnes en zone inondable	Population en zone inondable	Population	X			
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/1	Impact potentiel d'une crue sur le territoire 	S3/1b	Indicateurs de dommages calculés dans le cadre de l'objectif n°2 (S2/2 à S2/11)	Indicateurs de dommages calculés dans le cadre de l'objectif n°2 (S2/2 à S2/11)			X		
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/1	Impact potentiel d'une crue sur le territoire 	S3/1c	Emprise des bâtiments d'habitation pouvant être inondés	Emprise des bâtiments d'habitation pouvant être inondés	Population		X		
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/1	Impact potentiel d'une crue sur le territoire 	S3/1d	Nombre d'habitations légères de loisirs inondables	Habitations légères de loisirs inondables	Population		X		
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/1	Impact potentiel d'une crue sur le territoire 	S3/1e	Nombre de mobil-homes pouvant être mis à l'abri	Mobil-homes ne pouvant être mis à l'abri	Population	X			
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/1	Impact potentiel d'une crue sur le territoire 	S3/1f	Surfaces agricoles inondées	Surfaces agricoles inondables	Activités économiques			X	
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/2	Configuration de l'habitat face à une inondation 	S3/2a	Proportion de logements n'ayant pas fait l'objet de mesures de réduction de la vulnérabilité (pour le retour à la normale)	Logements n'ayant pas fait l'objet de mesures de réduction de la vulnérabilité	Population		X		
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/2	Configuration de l'habitat face à une inondation 	S3/2b	Capacités d'hébergement du territoire situées hors zone inondable	Capacités d'hébergement du territoire situées hors zone inondable	Établissements sensibles et/ou utiles à la gestion de crise	X			
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/2	Configuration de l'habitat face à une inondation 	S3/2c	Nombre de logements dont la durée de retour à la normale est supérieure à 6 mois	Nombre de logements dont la durée de retour à la normale est supérieure à 6 mois	Population		X		
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/3	Capacité à faire face aux conséquences sociales et psychologiques liées aux mises en danger ou à la perte de biens	S3/3	Niveau social de la population	Niveau social de la population	Population		X		
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/4	Capacité des services publics prioritaires (hôpitaux...) à faire face à l'inondation	S3/4a	Part des établissements publics prioritaires ne disposant pas d'un PCA	Établissements publics prioritaires ne disposant pas d'un PCA	Établissements sensibles et/ou utiles à la gestion de crise	X			
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/4	Capacité des services publics prioritaires (hôpitaux...) à faire face à l'inondation	S3/4b	Délai moyen de rétablissement des services publics prioritaires affectés par l'inondation	Délai moyen de rétablissement des services publics prioritaires affectés par l'inondation	Établissements sensibles et/ou utiles à la gestion de crise	X			
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/5	Capacité des autres services publics à faire face à l'inondation	S3/5a	Part des autres établissements publics ne disposant pas d'un PCA	Établissements publics non prioritaires ne disposant pas d'un PCA	Établissements sensibles et/ou utiles à la gestion de crise	X			
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/5	Capacité des autres services publics à faire face à l'inondation	S3/5b	Délai moyen de rétablissement des autres services publics affectés par l'inondation	Délai moyen de rétablissement des services publics non prioritaires affectés par l'inondation	Établissements sensibles et/ou utiles à la gestion de crise	X			
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/6	Capacité des activités économiques à faire face à l'inondation	S3/6a	Nombre de zones ou centres d'activité ne disposant pas d'un PCA	Zones ou centres d'activité ne disposant pas d'un PCA	Activités économiques	X		X	
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/6	Capacité des activités économiques à faire face à l'inondation	S3/6b	Nombre / chiffre d'affaires / nombre d'employés des entreprises susceptibles d'être impactées	Nombre / chiffre d'affaires / nombre d'employés des activités économiques susceptibles d'être impactées	Activités économiques			X	
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/6	Capacité des activités économiques à faire face à l'inondation	S3/6c	Délai moyen de rétablissement des entreprises stratégiques	Délai moyen de rétablissement des activités économiques stratégiques	Activités économiques			X	
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/6	Capacité des activités économiques à faire face à l'inondation	S3/6d	Proportion des entreprises ne disposant pas d'un PCA	Activités économiques ne disposant pas d'un PCA	Activités économiques	X		X	
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/7	Capacité à faire face aux impacts environnementaux	S3/7	Proportion du territoire ne disposant pas d'un plan de gestion des déchets post-inondation	Commune ne disposant pas d'un plan de gestion des déchets post-inondation	Déchets	X			
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/8	Capacité à faire face aux impacts patrimoniaux	S3/8	Proportion d'établissements patrimoniaux ne disposant pas d'un plan de sauvegarde des collections	Établissements patrimoniaux ne disposant pas d'un plan de sauvegarde des collections	Établissements sensibles et/ou utiles à la gestion de crise	X			
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/9	Capacité des gestionnaires d'infrastructures de transport à maintenir leur fonctionnement ou à les rétablir	S3/9a	Nombre de véhicules/jours gênés sur les réseaux de transit prenant en compte les itinéraires alternatifs	Nombre de véhicules/jours gênés sur les réseaux de transit prenant en compte les itinéraires alternatifs	Transport (routes, voies ferrées...)	X			
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/9	Capacité des gestionnaires d'infrastructures de transport à maintenir leur fonctionnement ou à les rétablir	S3/9b	Proportion de réseau de desserte locale affectée	Réseau de desserte locale affectée par l’inondation	Transport (routes, voies ferrées...)	X			
3	Raccourcir le délai de retour à la normale	3.1	L'impact sur les territoires et ses capacités à rétablir les fonctions d'habitat, d'activité... 	S3/9	Capacité des gestionnaires d'infrastructures de transport à maintenir leur fonctionnement ou à les rétablir	S3/9c	Délais de remise en fonctionnement de tous les réseaux de transport	Délais de remise en fonctionnement de tous les réseaux de transport	Transport (routes, voies ferrées...)		X		
3	Raccourcir le délai de retour à la normale	3.2	Le rétablissement des infrastructures et des réseaux 	S3/10	Capacité à maintenir ou à remettre en état les ouvrages de protection	S3/10a	Proportion de linéaire d'ouvrages de protection non concernés par un dispositif d'intervention d'urgence et délai de remise en état	Ouvrages de lutte contre les inondations non concernés par un dispositif d'intervention d'urgence et délai de remise en état		X			
3	Raccourcir le délai de retour à la normale	3.2	Le rétablissement des infrastructures et des réseaux 	S3/10	Capacité à maintenir ou à remettre en état les ouvrages de protection	S3/10b	Délai pour une intervention d'urgence	Délai pour une intervention d'urgence sur un ouvrage de lutte contre les inondations		X			
3	Raccourcir le délai de retour à la normale	3.2	Le rétablissement des infrastructures et des réseaux 	S3/11	Capacité des gestionnaires à maintenir ou rétablir les réseaux : électricité, distribution d'eau potable, assainissement, déchets, télécommunications et gaz	S3/11a	Nombre de plans de gestion de crise (réseaux)	Plans de gestion de crise relatifs aux réseaux		X			
3	Raccourcir le délai de retour à la normale	3.2	Le rétablissement des infrastructures et des réseaux 	S3/11	Capacité des gestionnaires à maintenir ou rétablir les réseaux : électricité, distribution d'eau potable, assainissement, déchets, télécommunications et gaz	S3/11b	Délai moyen de retour à la normale des réseaux	Délai moyen de retour à la normale des réseaux		X			
3	Raccourcir le délai de retour à la normale	3.3	Le manque de préparation à la crise 	S3/12	Préparation individuelle au retour à la normale	S3/12	Méconnaissance du risque par la population (enquête)	Méconnaissance du risque par la population	Population		X		
3	Raccourcir le délai de retour à la normale	3.3	Le manque de préparation à la crise 	S3/13	Préparation collective au retour à la normale	S3/13a	Préparation collective à la crise pour limiter les dégâts	Préparation collective à la crise pour limiter les dégâts	Population		X		
3	Raccourcir le délai de retour à la normale	3.3	Le manque de préparation à la crise 	S3/13	Préparation collective au retour à la normale	S3/13b	Proportion de personnes habitant une commune ne disposant pas d'un PCS planifiant l'alimentation et l'hébergement d'urgence	Population habitant une commune ne disposant pas d'un PCS planifiant l'alimentation et l'hébergement d'urgence	Population	X			
3	Raccourcir le délai de retour à la normale	3.3	Le manque de préparation à la crise 	S3/13	Préparation collective au retour à la normale	S3/13c	Proportion de personnes habitant une commune sans dispositif réglementaire	Population habitant une commune sans dispositif réglementaire	Population		X		
3	Raccourcir le délai de retour à la normale	3.3	Le manque de préparation à la crise 	S3/13	Préparation collective au retour à la normale	S3/13d	Proportion de personnes habitant une commune sans dispositif financier	Population habitant une commune sans dispositif financier	Population		X		
3	Raccourcir le délai de retour à la normale	3.3	Le manque de préparation à la crise 	S3/13	Préparation collective au retour à la normale	S3/13e	Proportion de personnes habitant une commune sans dispositif d'accompagnement technique	Population habitant une commune sans dispositif d'accompagnement technique	Population		X		
3	Raccourcir le délai de retour à la normale	3.3	Le manque de préparation à la crise 	S3/14	Moyens disponibles pour le nettoyage et le retour à la normale	S3/14	Proportion de population dont la commune dispose d'une réserve communale de sécurité civile	Population habitant une commune disposant d'une réserve communale de sécurité civile	Population	X			
3	Raccourcir le délai de retour à la normale	3.3	Le manque de préparation à la crise 	S3/15	Dispositifs assurantiels	S3/15	Montant des dommages potentiels pour les biens non assurés	Montant des dommages potentiels pour les biens non assurés	Population		X		
